% x,y,c (mol/m^3) @ t=0,c (mol/m^3) @ t=100,c (mol/m^3) @ t=200,c (mol/m^3) @ t=300,c (mol/m^3) @ t=400,c (mol/m^3) @ t=500,c (mol/m^3) @ t=600,c (mol/m^3) @ t=700,c (mol/m^3) @ t=800,c (mol/m^3) @ t=900,c (mol/m^3) @ t=1000,c (mol/m^3) @ t=1100,c (mol/m^3) @ t=1200,c (mol/m^3) @ t=1300,c (mol/m^3) @ t=1400,c (mol/m^3) @ t=1500,c (mol/m^3) @ t=1600,c (mol/m^3) @ t=1700,c (mol/m^3) @ t=1800,c (mol/m^3) @ t=1900,c (mol/m^3) @ t=2000,c (mol/m^3) @ t=2100,c (mol/m^3) @ t=2200,c (mol/m^3) @ t=2300,c (mol/m^3) @ t=2400,c (mol/m^3) @ t=2500,c (mol/m^3) @ t=2600,c (mol/m^3) @ t=2700,c (mol/m^3) @ t=2800,c (mol/m^3) @ t=2900,c (mol/m^3) @ t=3000
48.49320656,509.9065763,9.49E-04,9.81E-04,0.001016594,0.001054533,0.001095422,0.001140334,0.001188892,0.001241439,0.00130023,0.00136403,0.001433534,0.001513296,0.001600818,0.001697454,0.001812055,0.001939768,0.002083607,0.00226331,0.002468053,0.002706314,0.003033566,0.00341939,0.00390188,0.004730336,0.005768053,0.007048354,0.00899986,0.012490578,0.02026445,0.044188296,3.74E+09
540,0,0.001535533,0.001588505,0.001645346,0.001706749,0.001772927,0.001845617,0.001924206,0.002009253,0.002104407,0.002207666,0.002320157,0.00244925,0.002590904,0.002747308,0.002932789,0.00313949,0.003372292,0.003663139,0.003994513,0.004380135,0.004909789,0.00553424,0.006315145,0.00765599,0.009335522,0.011407673,0.014566161,0.020215843,0.032797754,0.071518178,3.74E+09
510.0434286,48.59204282,0.001528833,0.001581574,0.001638167,0.001699302,0.001765192,0.001837564,0.001915811,0.002000486,0.002095225,0.002198034,0.002310034,0.002438564,0.0025796,0.002735322,0.002919993,0.003125792,0.003357579,0.003647156,0.003977085,0.004361024,0.004888367,0.005510094,0.006287591,0.007622587,0.00929479,0.011357901,0.014502608,0.02012764,0.032654656,0.071206141,3.74E+09
0,599.9988,7.88E-04,8.16E-04,8.45E-04,8.76E-04,9.10E-04,9.48E-04,9.88E-04,0.001031585,0.001080438,0.001133453,0.001191208,0.001257487,0.001330215,0.001410515,0.001505744,0.001611868,0.001731393,0.001880718,0.002050851,0.002248836,0.00252077,0.002841374,0.003242304,0.003930717,0.004793017,0.005856895,0.007478517,0.010379162,0.016838934,0.036718679,3.74E+09
48.54283575,569.9548341,8.41E-04,8.70E-04,9.02E-04,9.35E-04,9.71E-04,0.001011303,0.001054366,0.001100967,0.001153107,0.001209687,0.001271327,0.001342063,0.001419683,0.001505384,0.001607018,0.001720279,0.001847843,0.002007212,0.002188788,0.002400089,0.002690312,0.00303248,0.003460375,0.00419509,0.005115387,0.006250819,0.007981509,0.011077245,0.01797149,0.03918831,3.74E+09
600,0,0.001535533,0.001588505,0.001645346,0.001706749,0.001772927,0.001845617,0.001924206,0.002009253,0.002104407,0.002207666,0.002320157,0.00244925,0.002590904,0.002747308,0.002932789,0.00313949,0.003372292,0.003663139,0.003994513,0.004380135,0.004909789,0.00553424,0.006315145,0.00765599,0.009335522,0.011407673,0.014566161,0.020215843,0.032797754,0.071518178,3.74E+09
570.0117137,48.58605567,0.001528835,0.001581576,0.001638169,0.001699304,0.001765194,0.001837566,0.001915813,0.002000489,0.002095227,0.002198036,0.002310036,0.002438567,0.002579603,0.002735325,0.002919996,0.003125796,0.003357583,0.00364716,0.003977089,0.004361029,0.004888372,0.0055101,0.006287598,0.007622595,0.0092948,0.011357913,0.014502624,0.020127662,0.032654691,0.071206218,3.74E+09
660,0,0.001535533,0.001588505,0.001645346,0.001706749,0.001772927,0.001845617,0.001924206,0.002009253,0.002104407,0.002207666,0.002320157,0.00244925,0.002590904,0.002747308,0.002932789,0.00313949,0.003372292,0.003663139,0.003994513,0.004380135,0.004909789,0.00553424,0.006315145,0.00765599,0.009335522,0.011407673,0.014566161,0.020215843,0.032797754,0.071518178,3.74E+09
630.002933,48.58442681,0.001528835,0.001581576,0.001638169,0.001699304,0.001765194,0.001837567,0.001915814,0.002000489,0.002095228,0.002198037,0.002310037,0.002438567,0.002579604,0.002735326,0.002919997,0.003125797,0.003357584,0.003647161,0.00397709,0.00436103,0.004888374,0.005510102,0.0062876,0.007622597,0.009294803,0.011357916,0.014502628,0.020127668,0.032654701,0.071206239,3.74E+09
720,0,0.001535533,0.001588505,0.001645346,0.001706749,0.001772927,0.001845617,0.001924206,0.002009253,0.002104407,0.002207666,0.002320157,0.00244925,0.002590904,0.002747308,0.002932789,0.00313949,0.003372292,0.003663139,0.003994513,0.004380135,0.004909789,0.00553424,0.006315145,0.00765599,0.009335522,0.011407673,0.014566161,0.020215843,0.032797754,0.071518178,3.74E+09
690,48.58392798,0.001528835,0.001581576,0.001638169,0.001699305,0.001765194,0.001837567,0.001915814,0.002000489,0.002095228,0.002198037,0.002310037,0.002438568,0.002579604,0.002735326,0.002919997,0.003125797,0.003357584,0.003647162,0.003977091,0.004361031,0.004888374,0.005510102,0.006287601,0.007622598,0.009294804,0.011357917,0.014502629,0.02012767,0.032654704,0.071206245,3.74E+09
